name,screen_name,followers_count,fav_avg,rt_avg
Terry McAuliffe,GovernorVA,56096,319,368
Richard Burr,SenatorBurr,70316,301,361
"Rep. Andy Harris, MD",RepAndyHarrisMD,9887,14,346
Rep. Trent Franks,RepTrentFranks,28755,78,343
US Rep. Rick Nolan,USRepRickNolan,9136,47,342
Governor Christie,GovChristie,869256,499,339
Rep. Susan Davis,RepSusanDavis,12080,109,339
David B. McKinley,RepMcKinley,21963,46,339
Rep. Norma Torres,NormaJTorres,7498,67,337
Rep. Emanuel Cleaver,repcleaver,23241,126,335
"Sanford Bishop, Jr.",SanfordBishop,13410,11,333
Congresswoman Tenney,RepTenney,1583,4,333
Justin Amash,justinamash,124459,1874,331
Senator Jack Reed,SenJackReed,37307,208,329
Eric Greitens,EricGreitens,34146,245,328
Diane Black,RepDianeBlack,19485,93,326
Patrick McHenry,PatrickMcHenry,20634,3,326
Rep. Mike Gallagher,RepGallagher,3747,218,325
Rep. Kevin Cramer,RepKevinCramer,9272,4,325
Senator Bob Corker,SenBobCorker,93693,367,316
Sen. Maggie Hassan,SenatorHassan,33557,406,312
Marsha Blackburn,MarshaBlackburn,31906,127,312
Ben Ray Lujan,repbenraylujan,14070,66,309
Rep. Derek Kilmer,RepDerekKilmer,12523,62,309
Marcy Kaptur,RepMarcyKaptur,13126,96,308
Rep. Bruce Poliquin,RepPoliquin,5236,18,307
Susan W. Brooks,SusanWBrooks,12602,5,305
Colleen Hanabusa,RepHanabusa,8401,58,291
Jim Inhofe,JimInhofe,29761,116,282
Rep. Brad Sherman,BradSherman,23126,267,279
Dean Heller,SenDeanHeller,43675,55,276
Barry Loudermilk,RepLoudermilk,6444,98,275
Rep. Ryan Costello,RepRyanCostello,6258,29,275
Mimi Walters,RepMimiWalters,8993,63,274
Ed Royce,RepEdRoyce,21630,53,274
Patrick Meehan,RepMeehan,14917,24,274
Nita Lowey,NitaLowey,19962,96,273
Jeff Denham,RepJeffDenham,16286,22,271
Tom Cotton,SenTomCotton,68048,47,263
Sen. James Lankford,SenatorLankford,29399,201,258
Steve Chabot ????,RepSteveChabot,19821,27,246
Rep. Salud Carbajal,RepCarbajal,2936,459,245
Gov John Bel Edwards,LouisianaGov,21430,273,239
Congressman Ken Buck,RepKenBuck,8382,55,233
Rep. Steve Scalise,SteveScalise,24944,206,229
Lindsey Graham,GrahamBlog,112365,198,229
Julia Brownley,JuliaBrownley26,8597,92,229
Bill Nelson,SenBillNelson,60822,347,221
Senator Chris Coons,ChrisCoons,54303,213,218
Chris Sununu,GovChrisSununu,3194,174,217
Joe Barton,RepJoeBarton,23986,13,217
Ron DeSantis,RepDeSantis,16115,8,217
Jim Banks,RepJimBanks,2238,132,216
Dennis Ross,RepDennisRoss,13927,26,209
Lou Correa,RepLouCorrea,1406,161,208
RepMarkAmodei,MarkAmodeiNV2,9909,63,206
Bob Goodlatte,RepGoodlatte,28872,9,206
Kay Ivey,GovernorKayIvey,11309,34,205
Rep. Doug Collins,RepDougCollins,10285,31,205
Phil Bryant,PhilBryantMS,41620,156,201
Rep. Evan Jenkins,RepEvanJenkins,5329,48,198
Fred Upton,RepFredUpton,20352,26,197
Senator Ron Johnson,SenRonJohnson,59089,85,196
Rep. Duncan Hunter,Rep_Hunter,12686,85,193
Trey Gowdy,TGowdySC,552930,3283,192
Ted Yoho,RepTedYoho,12946,58,191
Rep. John Delaney,RepJohnDelaney,13875,6,191
Governor Kate Brown,OregonGovBrown,24468,319,188
Governor Tom Wolf,GovernorTomWolf,38196,288,187
Rep. Joe Courtney,RepJoeCourtney,18490,6,187
Rep. Arrington,RepArrington,1865,134,183
Tom Emmer,RepTomEmmer,5557,59,182
Gov. Asa Hutchinson,AsaHutchinson,25747,225,181
Rep. Jack Bergman,RepJackBergman,1479,53,180
Joni Ernst,joniernst,29054,172,179
Gov. Bill Haslam,BillHaslam,70622,264,178
Senator Gary Peters,SenGaryPeters,28995,237,178
Rep. Will Hurd,HurdOnTheHill,18340,106,176
Jackie Walorski,RepWalorski,10195,26,176
US Rep Rodney Davis,RodneyDavis,11578,44,175
Jasmine Coleman,Rep_Matt_Gaetz,4,0,175
Bill Cassidy,BillCassidy,20716,79,174
Dan Donovan,RepDanDonovan,2326,25,174
Senator Jon Tester,SenatorTester,15522,174,171
Governor David Ige,GovHawaii,4574,37,169
Rep Peter DeFazio,RepPeterDeFazio,18333,146,168
Gerry Connolly,GerryConnolly,21225,124,168
Rep. Walter Jones,RepWalterJones,21122,67,168
Rep Rick Crawford,RepRickCrawford,13090,19,168
Sean Patrick Maloney,RepSeanMaloney,19050,199,166
Ted Poe,JudgeTedPoe,25124,46,166
Rep David Schweikert,RepDavid,17070,7,166
Senator Thad Cochran,SenThadCochran,39737,169,164
Virginia Foxx,virginiafoxx,18765,17,162
Rep. Brad Schneider,RepSchneider,5100,91,161
Ken Calvert,KenCalvert,10782,44,161
U.S. Rep. Bob Latta,boblatta,29159,2,161
Sen. Susan Collins,SenatorCollins,85973,353,159
Rep. Martha Roby,RepMarthaRoby,23712,133,157
JayInslee,JayInslee,15476,36,156
Mark Sanford,RepSanfordSC,8470,38,155
Jason Lewis,RepJasonLewis,3021,106,154
Rep. Charlie Crist,RepCharlieCrist,2695,244,153
Joe Wilson,RepJoeWilson,9563,5,153
Rep. Donald McEachin,RepMcEachin,2992,215,152
Rep. Paul Cook,RepPaulCook,8472,21,151
Grace Meng,RepGraceMeng,17403,104,149
Congressman Rod Blum,RepRodBlum,7517,75,147
Rep. Garret Graves,RepGarretGraves,5087,1,147
Rep. Andy Barr,RepAndyBarr,11313,29,146
Senator John Thune,SenJohnThune,75383,196,142
