cohort_week,weekly_user_count,cumulative_user_count
2015-02-09T00:00:00.000+0000,3,413
2015-02-16T00:00:00.000+0000,3,416
2015-02-23T00:00:00.000+0000,4,420
2015-03-09T00:00:00.000+0000,1,421
2015-03-16T00:00:00.000+0000,1,422
2015-03-23T00:00:00.000+0000,3,425
2015-04-13T00:00:00.000+0000,1,426
2015-04-20T00:00:00.000+0000,2,428
2015-04-27T00:00:00.000+0000,1,429
2015-05-18T00:00:00.000+0000,1,430
2015-05-25T00:00:00.000+0000,1,431
2015-06-01T00:00:00.000+0000,1,432
2015-06-08T00:00:00.000+0000,1,433
2015-06-15T00:00:00.000+0000,3,436
2015-06-22T00:00:00.000+0000,1,437
2015-06-29T00:00:00.000+0000,1,438
2015-07-06T00:00:00.000+0000,1,439
2015-07-13T00:00:00.000+0000,2,441
2015-07-20T00:00:00.000+0000,3,444
2015-07-27T00:00:00.000+0000,4,448
2015-08-31T00:00:00.000+0000,2,450
2015-09-14T00:00:00.000+0000,2,452
2015-09-21T00:00:00.000+0000,1,453
2015-09-28T00:00:00.000+0000,3,456
2015-10-05T00:00:00.000+0000,1,457
2015-10-19T00:00:00.000+0000,2,459
2015-11-09T00:00:00.000+0000,1,460
2015-11-30T00:00:00.000+0000,1,461
2015-12-07T00:00:00.000+0000,2,463
2016-01-04T00:00:00.000+0000,2,465
2016-01-18T00:00:00.000+0000,2,467
2016-01-25T00:00:00.000+0000,2,469
2016-02-01T00:00:00.000+0000,2,471
2016-02-08T00:00:00.000+0000,2,473
2016-02-15T00:00:00.000+0000,1,474
2016-03-07T00:00:00.000+0000,2,476
2016-03-14T00:00:00.000+0000,2,478
2016-03-21T00:00:00.000+0000,1,479
2016-03-28T00:00:00.000+0000,2,481
2016-04-11T00:00:00.000+0000,1,482
2016-04-25T00:00:00.000+0000,1,483
2016-05-02T00:00:00.000+0000,2,485
2016-05-16T00:00:00.000+0000,1,486
2016-05-23T00:00:00.000+0000,2,488
2016-05-30T00:00:00.000+0000,1,489
2016-06-06T00:00:00.000+0000,1,490
2016-06-13T00:00:00.000+0000,2,492
2016-06-27T00:00:00.000+0000,1,493
2016-07-18T00:00:00.000+0000,1,494
2016-08-01T00:00:00.000+0000,1,495
