name,followers_count,friends_count
Glenn 'GT' Thompson,15737,2895
Rep. Scott Peters,15678,882
Mike Thompson,15546,527
Senator Jon Tester,15522,912
Jerry McNerney,15490,557
JayInslee,15476,568
Jim Cooper,15462,569
Rep. Suzan DelBene,15236,1594
Tom Graves,15177,2083
Rep. Bill Huizenga,15018,4528
Rep. Vicky Hartzler,14979,943
Patrick Meehan,14917,951
Rep. Bill Flores,14838,2862
Rep. Robert Aderholt,14770,114
Jeff Fortenberry,14677,2235
Rep. Rick Larsen,14659,4965
Governor Roy Cooper,14578,13
Albio Sires,14423,246
Rep. Gene Green,14370,510
Rep. Jamie Raskin,14247,599
Rep. Tom Cole,14207,218
Gov. Dennis Daugaard,14198,580
Rep. John Sarbanes,14150,588
Rep. Randy Hultgren,14074,1859
Ben Ray Lujan,14070,516
US Rep. Mike Turner,14065,873
Daniel Webster,14057,267
Steve Daines,14037,650
David E. Price,14009,2342
Rep. Mia Love,13975,202
David Scott,13951,1668
Dennis Ross,13927,1480
Rep. Steve Womack,13908,1284
Rep. John Delaney,13875,1426
Joyce Beatty,13821,1235
"Larry Bucshon, MD",13749,1979
Rep. Lois Frankel,13606,1463
Rep. Kay Granger,13594,1136
Dr. Phil Roe,13538,278
Governor John Carney,13524,1178
Suzanne Bonamici,13478,1106
"Sanford Bishop, Jr.",13410,788
Judge Carter,13253,642
Ann Wagner,13197,2771
Kim Reynolds,13182,4614
Rep. Don Young,13166,626
G. K. Butterfield,13132,537
Marcy Kaptur,13126,510
Rep Rick Crawford,13090,1017
Bill Foster,13063,1972
Rep. Austin Scott,13048,313
Ted Yoho,12946,314
Denny Heck,12940,1516
Rep Tim Walberg,12870,1083
John Culberson,12760,886
Rep. Duncan Hunter,12686,237
Susan W. Brooks,12602,1047
Rep. Juan Vargas,12582,155
Rep. Derek Kilmer,12523,128
Rep. Bradley Byrne,12416,3395
Senator Mike Rounds,12361,542
Tom Reed,12345,403
Scott DesJarlais,12333,1279
Dina Titus,12171,1799
Mike Doyle,12143,56
Rep. Tony Cárdenas,12139,1396
Rep. Susan Davis,12080,110
Frank LoBiondo,12017,245
Tom McClintock,11989,0
Brad Wenstrup,11966,964
Rep. Sam Graves,11758,824
Senator Cortez Masto,11746,272
Rep. Jim Costa,11670,501
Alcee L. Hastings,11640,67
Richard Hudson,11633,1906
Rep. Charlie Dent,11619,527
US Rep Rodney Davis,11578,550
Rep. Chris Collins,11421,593
Markwayne Mullin,11413,1138
Rep. Andy Barr,11313,1203
Kay Ivey,11309,485
Bobby L. Rush,11240,203
Ann McLane Kuster,11221,2518
Rep. Richard Neal,11208,29
Dutch Ruppersberger,11206,1350
Dave Joyce,11198,2603
Rep. Carlos Curbelo,11118,215
Bob Brady,11044,715
Rep. Doug Lamborn,11001,880
Bill Keating,10880,608
Chuck Fleischmann,10850,627
Rep. Ron Kind,10846,561
Ken Calvert,10782,266
Rep. Elise Stefanik,10656,247
Adriano Espaillat,10629,937
Hal Rogers,10628,698
Rep. Marc Veasey,10416,2839
Rep. Doug Collins,10285,905
SenDanSullivan,10220,571
Jackie Walorski,10195,704
Rep. Luke Messer,10097,839
Steve Pearce,10048,796
RepMarkAmodei,9909,1759
"Rep. Andy Harris, MD",9887,601
Rep Robert Pittenger,9868,1181
George Holding,9750,254
D. Wasserman Schultz,9699,2330
Randy Weber,9639,404
US Rep Brendan Boyle,9614,958
Paul R. LePage,9613,302
Mark DeSaulnier,9602,481
RepScottPerry,9582,2708
Henry McMaster,9568,604
Joe Wilson,9563,351
Rep. David Valadao,9557,386
Rep. Chris Smith,9451,230
U.S. Rep. Billy Long,9404,4473
Rep. Pete Visclosky,9333,1076
Rep. Kevin Cramer,9272,639
Mac Thornberry Press,9243,938
Robin Kelly,9227,1678
Rodney Frelinghuysen,9217,100
Martha McSally,9184,732
Raul Ruiz,9176,3
Mike Conaway,9138,1417
US Rep. Rick Nolan,9136,1059
Rep. Mike Kelly,9042,921
Mimi Walters,8993,1007
Barbara Comstock,8862,641
Scott Taylor,8818,3432
Rep. Dave Brat,8717,799
James Comer,8703,973
Cong. Mike Simpson,8629,79
Julia Brownley,8597,592
Dwight Evans,8573,1362
David Perdue,8502,1475
Rep. Peter Welch,8475,1833
Rep. Paul Cook,8472,1162
Mark Sanford,8470,494
Rep. Chris Stewart,8437,1073
Donald Payne Jr.,8437,1003
Rep Stephanie Murphy,8430,339
Sam Johnson,8417,439
Colleen Hanabusa,8401,819
Congressman Ken Buck,8382,314
Congressman Tom Rice,8376,406
Rep. Jason Smith,8063,1001
Rep. Daniel Lipinski,8061,886
Kathleen Rice,8041,1036
Gov. Pete Ricketts,7982,1073
Tim Walz,7893,1478
Matt Cartwright,7891,1915
David Cicilline,7891,1228
US Rep Kathy Castor,7810,2704
Luther Strange,7565,1484
Congressman Rod Blum,7517,2190
Frank Lucas,7508,240
Rep. Norma Torres,7498,706
Rep. Adrian Smith,7498,273
Alma S. Adams,7417,975
Tom MacArthur,7297,660
Mike Bishop,7229,699
Rep. Doug LaMalfa,7016,981
Brenda Lawrence,6988,1070
Mike Capuano,6887,936
Eric Holcomb,6877,941
Rep. Ruben J. Kihuen,6869,114
Marcia L. Fudge,6827,1753
RepBThompson,6707,428
David Young,6634,766
Rep. Mark Walker,6601,1376
Gary Palmer,6486,889
Barry Loudermilk,6444,1499
Warren Davidson,6323,4246
Rep. Bruce Westerman,6303,736
Rep. Danny Davis,6301,338
French Hill,6278,554
Rep. Ryan Costello,6258,498
Brian Babin,6202,632
Rep. Jody Hice,6198,732
Dave Trott,6196,213
John W. Hickenlooper,6186,624
Rep. Roger Williams,6170,671
Anthony G. Brown,6067,369
John Katko,6019,208
Dave Loebsack,5968,579
Rep Dan Newhouse,5945,1516
Governor Bill Walker,5870,550
Blaine Luetkemeyer,5853,251
John Ratcliffe,5848,572
Lee Zeldin,5801,504
Rep. Pete Aguilar,5716,198
Rep. Brett Guthrie,5692,223
