name,created_at,tweet,likes
Donald J. Trump,2017-02-03 11:28:02,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",174013
Donald J. Trump,2017-03-05 17:30:11,Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!,173145
Donald J. Trump,2017-02-03 11:48:16,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",173141
Donald J. Trump,2017-01-30 13:31:00,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",172523
Donald J. Trump,2017-01-28 15:42:58,"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget",170874
Donald J. Trump,2017-01-29 21:49:32,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",170825
Donald J. Trump,2016-11-10 19:31:27,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!!,168060
Donald J. Trump,2016-11-11 15:26:37,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet,167223
Donald J. Trump,2017-01-20 00:40:51,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AMERICA GREAT AGAIN!",166570
Donald J. Trump,2016-11-24 02:17:26,"Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Thanksgiving.",165855
Donald J. Trump,2017-02-03 12:51:58,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,164813
Donald J. Trump,2016-11-18 02:01:52,"Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico",164652
Donald J. Trump,2017-06-04 11:43:30,Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,164459
Donald J. Trump,2017-01-30 14:23:49,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,164101
Donald J. Trump,2017-02-09 01:05:53,"Congratulations to our new Attorney General, @SenatorSessions!",163959
Donald J. Trump,2017-06-02 01:00:35,MAKE AMERICA GREAT AGAIN!,163948
Donald J. Trump,2017-01-25 02:16:19,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,163482
Donald J. Trump,2017-03-04 12:02:48,How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,163300
Donald J. Trump,2017-02-06 12:01:53,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.",162672
Donald J. Trump,2017-01-20 17:55:44,We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN! #InaugurationDay #MAGA🇺🇸,162058
Donald J. Trump,2017-01-16 13:54:52,Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,162009
Donald J. Trump,2017-02-17 21:48:22,"The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!",161565
Donald J. Trump,2017-01-27 13:19:10,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change, NOW!",161377
Bernie Sanders,2017-02-12 18:41:00,I disagreed with President Bush all the time. I never called him a pathological liar. He was just conservative. But Trump lies all the time.,161241
Donald J. Trump,2017-02-10 23:24:51,Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today.,161124
Donald J. Trump,2016-11-27 20:30:43,"In addition to winning the Electoral College in a landslide, I won the popular vote if you deduct the millions of people who voted illegally",160766
Bernie Sanders,2016-12-01 21:09:50,Where'd you get your PhD? Trump University?,160693
Donald J. Trump,2017-06-04 11:31:00,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",160591
Donald J. Trump,2017-01-19 13:02:18,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",160460
Donald J. Trump,2017-02-04 13:12:02,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",159947
Donald J. Trump,2017-02-25 12:25:24,Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!,159428
Donald J. Trump,2017-02-08 01:04:00,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",158029
Donald J. Trump,2017-01-24 11:11:47,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,155457
Donald J. Trump,2017-02-04 03:07:47,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,155340
Donald J. Trump,2017-01-31 11:21:52,Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,153285
Donald J. Trump,2017-01-26 02:14:56,"As your President, I have no higher duty than to protect the lives of the American people.",153022
Donald J. Trump,2017-02-02 03:55:49,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,152643
Donald J. Trump,2017-05-29 12:35:34,"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families &amp; God bless the USA!",151711
Donald J. Trump,2017-02-17 11:43:10,Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!,151542
Donald J. Trump,2017-03-03 17:54:30,We should start an immediate investigation into @SenSchumer and his ties to Russia and Putin. A total hypocrite!,150913
Donald J. Trump,2017-01-19 13:00:13,"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",150613
Donald J. Trump,2017-01-27 23:46:22,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you!,149892
Donald J. Trump,2016-12-25 12:46:41,#MerryChristmas,149871
Elizabeth Warren,2017-02-09 01:33:04,Consider this MY warning: We won’t be silent. We will speak out. And we WILL persist.,149718
Donald J. Trump,2017-02-03 11:34:32,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,149613
Donald J. Trump,2017-02-04 20:44:07,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",149441
Donald J. Trump,2017-02-12 11:34:45,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!",149213
Donald J. Trump,2017-01-20 17:54:00,"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸",148614
Donald J. Trump,2016-11-19 13:56:30,"The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man, Mike Pence. Apologize!",148502
Donald J. Trump,2017-02-05 20:42:33,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,147749
Bernie Sanders,2017-05-22 16:27:26,What I really like about Mr. Trump is how true to his word he always is.,146953
Donald J. Trump,2017-02-07 02:49:28,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",146496
Donald J. Trump,2017-03-04 11:35:20,"Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!",144395
Donald J. Trump,2017-02-08 15:51:01,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,143103
Donald J. Trump,2017-05-23 12:04:48,We stand in absolute solidarity with the people of the United Kingdom.,142651
Donald J. Trump,2017-02-12 22:19:05,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,142085
Donald J. Trump,2017-02-20 14:15:42,Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!,141812
Donald J. Trump,2017-04-13 00:32:25,"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",140660
Donald J. Trump,2016-12-06 13:52:35,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",140526
Donald J. Trump,2017-02-04 13:06:39,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!,140418
