name,tweet,created_at,retweets,likes
Donald J. Trump,"Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Thanksgiving.",2016-11-24 02:17:26,47967,165855
Bernie Sanders,My dad was born in Poland. Do you know how many people ever asked me whether or not I was born in America? Nobody ever asked me that.,2016-09-16 14:49:31,47413,102259
Donald J. Trump,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet,2016-11-11 15:26:37,46503,167223
Chris Murphy,To my colleagues: don't ever again lecture me on American moral leadership if you chose to be silent today.,2017-01-28 02:48:54,46442,73285
Bernie Sanders,This is America and we aren't going to throw out 11 million people who are undocumented. We’re not going to turn against Muslims.,2016-11-11 03:38:45,46298,89394
Maxine Waters,"On this tax day, remember that instead of releasing his tax returns, Trump is wasting taxpayers' money &amp; enriching himself at his resort.",2017-04-15 11:34:56,46106,87240
Donald J. Trump,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,2017-01-22 12:47:21,45994,214317
Donald J. Trump,The #MarchForLife is so important. To all of you marching --- you have my full support!,2017-01-27 16:27:02,45692,185802
Donald J. Trump,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!!,2016-11-10 19:31:27,45044,168060
Bernie Sanders,"It's Thursday, Mr. President, and your party is trying to throw 24 million people off of health care today. Are you still concerned?",2017-05-04 15:42:05,45009,71367
Donald J. Trump,"We must keep ""evil"" out of our country!",2017-02-03 23:08:38,45005,205838
Maxine Waters,Get ready for impeachment.,2017-03-21 12:56:31,44979,107524
Elizabeth Warren,"We need a real, independent prosecutor who @realDonaldTrump can't fire, Sessions can't intimidate, &amp; Congress can't muzzle. We need it now.",2017-05-09 23:12:00,44922,105641
Donald J. Trump,Watching the returns at 9:45pm. #ElectionNight #MAGA🇺🇸,2016-11-09 02:48:27,44734,189052
President Trump,"I am honored to serve you, the great American People, as your 45th President of the United States!",2017-01-21 17:18:05,44543,196587
Bernie Sanders,"If Donald Trump would like to investigate what he considers ""voter fraud,"" perhaps he should start with his family and advisors.",2017-02-01 17:26:56,44380,73886
Cory Booker,Love this:,2017-02-11 21:29:08,43989,104868
Donald J. Trump,"The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man, Mike Pence. Apologize!",2016-11-19 13:56:30,43147,148502
Donald J. Trump,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",2017-01-20 17:52:45,43009,181139
Adam Schiff,"This ""so-called"" judge was nominated by a ""so-called"" President &amp; was confirmed by the ""so-called"" Senate. Read the ""so-called"" Constitution",2017-02-04 15:41:34,42696,82418
Donald J. Trump,"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",2017-02-03 11:48:16,42648,173141
Bernie Sanders,"The entire First Family represented our country with extraordinary dignity, grace and civility over the last eight years. Thank you.",2017-01-20 14:26:10,42603,134118
Donald J. Trump,We finally agree on something Rosie.,2017-05-11 19:55:34,42473,124682
Donald J. Trump,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",2017-01-29 21:49:32,42473,170825
Donald J. Trump,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",2016-12-06 13:52:35,42411,140526
Chuck Schumer,"Our requests are eminently reasonable, shared by leaders of both parties. I'll return this letter to @SenateMajLdr with the same requests.",2017-01-09 19:48:02,42266,68374
Donald J. Trump,The Democrats should be ashamed. This is a disgrace! #DrainTheSwamp,2017-05-11 00:14:58,42096,102601
Donald J. Trump,#MerryChristmas,2016-12-25 12:46:41,41831,149871
Donald J. Trump,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,2017-02-03 12:51:58,41790,164813
Bernie Sanders,"Today will be a tough day, but we can't throw up our hands in despair. We have to fight back. We are not giving up.",2017-01-20 15:06:02,41650,94337
Elizabeth Warren,"Let me repeat: the @POTUS fired the nation’s top law enforcement officer for refusing to defend an illegal, unconstitutional, immoral order.",2017-01-31 17:54:04,41428,76772
Donald J. Trump,.@transition2017 update and policy plans for the first 100 days.,2016-11-21 23:58:06,41303,101082
Donald J. Trump,"If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary, we would all be much better off!",2016-11-04 19:07:20,40974,101066
Donald J. Trump,Happy Easter to everyone!,2017-04-16 12:24:49,40957,187463
Donald J. Trump,"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!",2017-03-15 11:02:40,40934,127916
Donald J. Trump,Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today.,2017-02-10 23:24:51,40704,161124
John McCain,".@POTUS can sign whatever executive orders he likes, but the law is the law - we're not bringing back torture",2017-01-25 14:40:18,40636,95845
Donald J. Trump,Such a great honor to be the Republican Nominee for President of the United States. I will work hard and never let you down! AMERICA FIRST!,2016-07-19 23:52:59,40314,126454
Donald J. Trump,"For those few people knocking me for tweeting at three o'clock in the morning, at least you know I will be there, awake, to answer the call!",2016-09-30 18:37:48,40292,106164
Donald J. Trump,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",2017-01-22 12:51:36,40282,218544
Donald J. Trump,"The media and establishment want me out of the race so badly - I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA",2016-10-08 19:40:48,40263,104472
Donald J. Trump,"I hereby demand a second investigation, after Schumer, of Pelosi for her close ties to Russia, and lying about it.",2017-03-03 21:02:23,40094,122535
Donald J. Trump,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",2016-12-15 14:24:29,40075,122556
President Trump,"We are one people, with one destiny. We all bleed the same blood. We all salute the same flag. And we are all made by the same God.",2017-03-01 03:08:00,39745,129580
Donald J. Trump,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,2017-02-02 11:34:36,39731,122018
Bernie Sanders,We are in a pivotal moment in American history. We have a president who is delusional. He is a pathological liar.,2017-02-12 20:58:00,39399,109755
Donald J. Trump,Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.,2017-02-18 13:31:53,39205,187037
Donald J. Trump,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,2017-01-31 11:27:02,39010,180042
Donald J. Trump,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",2017-01-19 13:02:18,38993,160460
Donald J. Trump,FBI director said Crooked Hillary compromised our national security. No charges. Wow! #RiggedSystem,2016-07-05 15:39:06,38942,75801
Elizabeth Warren,I will not be silent while the Republicans rubber stamp an AG who will never stand up to the @POTUS when he breaks the law.,2017-02-08 01:30:43,38755,105515
Donald J. Trump,"Today there were terror attacks in Turkey, Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!",2016-12-19 23:21:11,38693,112690
Donald J. Trump,"The Electoral College is actually genius in that it brings all states, including the smaller ones, into play. Campaigning is much different!",2016-11-15 13:40:29,38537,126532
Jim McGovern,This is outrageous: Not a single woman in the room as @Mike_Pence and @HouseGOP propose removing maternity coverage in #Trumpcare.,2017-03-23 19:19:02,38445,39468
Jim Cooper,The first two refugees kept out of America by President Trump's order are Iraqis who helped US troops survive during the war.,2017-01-28 15:05:19,38335,44701
Donald J. Trump,We will follow two simple rules: BUY AMERICAN &amp; HIRE AMERICAN! #InaugurationDay #MAGA🇺🇸,2017-01-20 17:55:44,38279,162058
Donald J. Trump,Interesting how the U.S. sells Taiwan billions of dollars of military equipment but I should not accept a congratulatory call.,2016-12-03 01:41:30,38163,121364
Donald J. Trump,"When a country is no longer able to say who can, and who cannot , come in &amp; out, especially for reasons of safety &amp;.security - big trouble!",2017-02-04 12:59:35,38143,176092
Donald J. Trump,"If the press would cover me accurately &amp; honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!",2016-12-05 16:00:27,38129,139541
Donald J. Trump,Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,2017-01-16 13:54:52,38089,162009
Donald J. Trump,Get rich quick! Crooked Hillary Clinton's pay to play guide:,2016-10-17 22:51:31,37932,58985
Bernie Sanders,"There is no compromise on racism, bigotry, xenophobia and sexism. We will fight it in all its forms, whenever and wherever it re-emerges.",2016-11-12 17:09:00,37930,80135
Donald J. Trump,"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a.....",2017-01-09 11:27:50,37710,123888
Bernie Sanders,"Science is science. There are no ""alternative facts."" A modern society cannot survive unless decisions are made on evidence-based research.",2017-01-27 15:36:50,37697,80585
Donald J. Trump,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,2017-01-20 17:54:36,37655,174530
Donald J. Trump,"Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.",2017-03-04 11:42:59,37654,121726
Donald J. Trump,I am pleased to announce that I have chosen Governor Mike Pence as my Vice Presidential running mate. News conference tomorrow at 11:00 A.M.,2016-07-15 14:50:55,37622,90004
Donald J. Trump,Is President Obama going to finally mention the words radical Islamic terrorism? If he doesn't he should immediately resign in disgrace!,2016-06-12 17:58:00,37498,89179
Donald J. Trump,"Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",2017-03-02 11:00:41,37455,176519
Donald J. Trump,"I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",2017-03-04 11:52:54,37405,132372
Donald J. Trump,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,2017-02-02 03:55:49,37388,152643
Elizabeth Warren,We will not allow a Muslim ban in the United States of America. Here's what I said at Logan Airport tonight. #NoBanNoWall,2017-01-29 02:03:42,37340,89418
Donald J. Trump,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!",2016-11-11 02:10:46,37253,190698
Donald J. Trump,"Who was it that secretly said to Russian President, ""Tell Vladimir that after the election I'll have more flexibility?"" @foxandfriends",2017-03-05 11:40:20,37022,126868
Donald J. Trump,"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families &amp; God bless the USA!",2017-05-29 12:35:34,36934,151711
Donald J. Trump,This is the single greatest witch hunt of a politician in American history!,2017-05-18 11:52:14,36887,124152
Donald J. Trump,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,2017-02-05 22:49:42,36743,185938
Donald J. Trump,MAKE AMERICA GREAT AGAIN!,2017-03-03 22:13:10,36616,123542
Donald J. Trump,"Is it legal for a sitting President to be ""wire tapping"" a race for president prior to an election? Turned down by court earlier. A NEW LOW!",2017-03-04 11:49:00,36593,124168
Donald J. Trump,"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",2017-02-08 01:04:00,36585,158029
Donald J. Trump,Hillary said she was under sniper fire (while surrounded by USSS.) Turned out to be a total lie. She is not fit to lead our country.,2016-10-26 21:59:15,36443,68761
Donald J. Trump,"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.",2017-02-06 12:01:53,36436,162672
Donald J. Trump,Mexico will pay for the wall!,2016-09-01 10:31:17,36225,61737
Mark Takano,"Meals on Wheels feeds 500,000 veterans every year. Where does taking food from hungry veterans fit into the ""America First"" doctrine?",2017-03-16 20:52:02,36143,53095
Donald J. Trump,"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned &amp; called terrible names!",2016-12-18 21:54:40,35953,133622
Donald J. Trump,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",2017-01-30 13:31:00,35692,172523
Donald J. Trump,Hillary Clinton should have been prosecuted and should be in jail. Instead she is running for president in what looks like a rigged election,2016-10-15 12:23:08,35691,84022
Donald J. Trump,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,2017-01-12 14:22:21,35427,128239
Bernie Sanders,Donald Trump’s decision to fire FBI Director James Comey raises serious questions about what his administration is hiding.,2017-05-09 23:16:00,35412,82025
Elizabeth Warren,It is totally unprecedented for a President-elect of the United States to have to settle fraud lawsuits before taking office.,2016-11-18 23:36:18,35315,67467
Donald J. Trump,Mike Pence won big. We should all be proud of Mike!,2016-10-05 02:36:02,35314,118996
Donald J. Trump,"Don't let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!",2016-11-08 21:31:20,35307,115747
Donald J. Trump,Obama just endorsed Crooked Hillary. He wants four more years of Obama—but nobody else does!,2016-06-09 18:22:21,35287,82178
Adam Schiff,"When McConnell deprived President Obama of a vote on Garland, it was a nuclear option. The rest is fallout.",2017-04-04 00:00:40,35251,72839
Donald J. Trump,Bernie Sanders endorsing Crooked Hillary Clinton is like Occupy Wall Street endorsing Goldman Sachs.,2016-07-12 17:01:51,35185,50209
Donald J. Trump,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,2017-01-30 12:27:05,35184,174039
Bernie Sanders,Mr. Trump isn't anti-establishment. He and his billionaire friends ARE the establishment and the American people will learn that very soon.,2017-01-22 23:48:27,35174,87331
Donald J. Trump,"The forgotten men and women of our country will be forgotten no longer. From this moment on, it’s going to be #AmericaFirst🇺🇸",2017-01-20 17:54:00,35127,148614
Donald J. Trump,Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!,2017-02-20 14:15:42,35059,141812
Donald J. Trump,"Wow, Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!",2016-10-30 14:26:30,35047,71130
Donald J. Trump,"We are TRYING to fight ISIS, and now our own people are killing our police. Our country is divided and out of control. The world is watching",2016-07-17 18:26:51,34947,84673
Bernie Sanders,This country has never been about one person or one president. It's about the millions of people who speak up and fight for justice.,2017-01-29 01:30:28,34807,100095
Donald J. Trump,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, many decades!",2017-01-30 21:07:52,34779,177720
Donald J. Trump,Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!,2017-02-25 12:25:24,34779,159428
Elizabeth Warren,There’s no Rule 19 to silence me from talking about Jeff Sessions anymore. So let me say loudly &amp; clearly: This is just the beginning.,2017-02-09 01:28:20,34699,126631
Donald J. Trump,We stand in absolute solidarity with the people of the United Kingdom.,2017-05-23 12:04:48,34480,142651
Donald J. Trump,"Wow, the @nytimes is losing thousands of subscribers because of their very poor and highly inaccurate coverage of the ""Trump phenomena""",2016-11-13 14:16:46,34450,125529
Donald J. Trump,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",2017-02-01 03:45:26,34397,251971
Donald J. Trump,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AMERICA GREAT AGAIN!",2017-01-20 00:40:51,34360,166570
Donald J. Trump,"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!",2016-12-28 14:25:11,34103,116407
Elizabeth Warren,The FBI Director testified @realDonaldTrump's campaign is under investigation for collusion w/ Russia. Lifetime court appointments can wait.,2017-03-21 21:34:58,34052,78041
Donald J. Trump,Great move on delay (by V. Putin) - I always knew he was very smart!,2016-12-30 19:41:33,34029,96299
Donald J. Trump,ISIS is taking credit for the terrible stabbing attack at Ohio State University by a Somali refugee who should not have been in our country.,2016-11-30 11:20:01,33886,106327
Adam Schiff,"Woke up and a US President was no longer leader of free world. After only 132 days, Trump will go down as worst President in modern history.",2017-06-02 16:17:32,33739,93605
Donald J. Trump,Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!,2016-12-12 13:17:54,33710,106837
Donald J. Trump,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",2017-02-04 13:12:02,33647,159947
Donald J. Trump,The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US. #VoteTrumpPence16,2016-11-04 23:31:28,33515,64406
Donald J. Trump,"Our wonderful future V.P. Mike Pence was harassed last night at the theater by the cast of Hamilton, cameras blazing.This should not happen!",2016-11-19 13:48:31,33497,121319
Bernie Sanders,Thank you Mr. Trump for admitting that universal health care is the better way to go. I'll be sure to quote you on the floor of the Senate.,2017-05-05 01:07:37,33461,66162
Donald J. Trump,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",2017-02-04 20:44:07,33435,149441
